ARTIFACT_ID,AUDIT_DEFECT,DEPENDENCY_CLASS,DEPENDENCY_PATH,DISPOSITION
TSLRSH-GPU-001,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-002,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-002,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-002,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-002,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-002,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-003,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-004,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-005,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-006,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-007,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-008,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-009,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,electronic-state reuse mismatch,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-010,mutable result state,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-011,defective Amber name parsing,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-011,old ZVZB finite-sample bug,NO_DEPENDENCY_IDENTIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-011,old checksum deletion bypass,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-011,malformed-energy coercion,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-011,atlas leakage,DIRECT_OR_REVERIFIED,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
TSLRSH-GPU-011,noncanonical identity,REVERIFIED_FAIL_CLOSED_WITHOUT_RECOMPUTATION,checksum deletion bypass: reverified present+hash; malformed energy coercion: typed finite JSON checked; noncanonical identity: geometry/result hashes used; atlas leakage: no atlas artifact consumed; Amber/ZVZB/electronic-state/mutable-state defects: no dependency,TRUSTED
