evidence_hash,field_name,historical_value,recovered_value,classification,source_path,source_sha256,locator,extraction_method,rationale,discrepancy
"0efd71c47f7b1a31c63275d296abf9eab6d2930eb4afc178d995a6d7c2d4f870","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_2.8A/result.json","a9e8f7742cf0e59700c7e9bfc3e6d90f600c0873abf6d83621445a28d5595929","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"107bde46ba95f32e270520855287e59cb755f141879208890c4346d23994400c","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi300_psi060_A_m10/input.json","9630e4aa925e428d97148c7dabf3278a2510656b8fc249cd06a600e716f79716","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"107bde46ba95f32e270520855287e59cb755f141879208890c4346d23994400c","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi300_psi060_A_m10/input.json","9630e4aa925e428d97148c7dabf3278a2510656b8fc249cd06a600e716f79716","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"13d535a5335748eb9f138783fe67cf85cb60a865a6b5a82198626ddd86f76af2","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi060_psi060_A_m10/input.json","9c5db8114a3fd4d979c6da288dc4d9abf320d95f3c847daa3dc177038243c09b","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"13d535a5335748eb9f138783fe67cf85cb60a865a6b5a82198626ddd86f76af2","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi060_psi060_A_m10/input.json","9c5db8114a3fd4d979c6da288dc4d9abf320d95f3c847daa3dc177038243c09b","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"1434c7d26d2139e569af62a1714aa158e27a18de9bec0194b33eb29026b0f3ff","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"15b87ed4a4fef7dded9a82da3278a10e0e7cb94561ee53035c7607a86ad89da7","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-12/12_MIN01_O2_ACCEPTOR_2.8/dimer.log","97b07db6094000d08d59b5a8a22712630eeb75cc9ecd21e01aa126f9aa9d8522","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"15b87ed4a4fef7dded9a82da3278a10e0e7cb94561ee53035c7607a86ad89da7","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-12/12_MIN01_O2_ACCEPTOR_2.8/dimer.log","97b07db6094000d08d59b5a8a22712630eeb75cc9ecd21e01aa126f9aa9d8522","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"1950a3a989c1ef2a1286310942937591455819f4a4de88ff6b737f88b1b1ce76","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-8/08_MIN01_O1_ACCEPTOR_2.1/dimer.log","916452c62230e64d74dba70fefbc155785752daf4770c2cdf0fc1d4ecbeb5bde","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"1950a3a989c1ef2a1286310942937591455819f4a4de88ff6b737f88b1b1ce76","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-8/08_MIN01_O1_ACCEPTOR_2.1/dimer.log","916452c62230e64d74dba70fefbc155785752daf4770c2cdf0fc1d4ecbeb5bde","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"1b3128a3bd6fb32773747168387231e254f3f41603c6b92e3e1c54916cc121eb","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"1b3128a3bd6fb32773747168387231e254f3f41603c6b92e3e1c54916cc121eb","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"1d7038cd117b7a4a0de57a2ac703480568af61aeb4bf4e56dec6ac6488ec742d","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"1d7038cd117b7a4a0de57a2ac703480568af61aeb4bf4e56dec6ac6488ec742d","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"21cd9fb89b6f695f0123ae3dfc9e2e3649d4cd22e4cd8aa88afc4925bdf68fe6","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-19/19_MIN04_SH_DONOR_2.1/dimer.log","a612c9f8c0bd1dc092531b8518d3e8dde644e261468a009d53b7caa734e9f468","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"21cd9fb89b6f695f0123ae3dfc9e2e3649d4cd22e4cd8aa88afc4925bdf68fe6","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-19/19_MIN04_SH_DONOR_2.1/dimer.log","a612c9f8c0bd1dc092531b8518d3e8dde644e261468a009d53b7caa734e9f468","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"245093211ab5b43645c70fc78923051bbfeae836fca0add2825c61d8b874135e","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-6/06_MIN01_SH_DONOR_2.8/dimer.log","67ec8d169035a49ad5729cc6a92767ca6170b12c7871b40a403e8b4734b87b98","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"245093211ab5b43645c70fc78923051bbfeae836fca0add2825c61d8b874135e","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-6/06_MIN01_SH_DONOR_2.8/dimer.log","67ec8d169035a49ad5729cc6a92767ca6170b12c7871b40a403e8b4734b87b98","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"2a75cfc51d0fe155ccfddbeb43c19c26c237ce819f1dc23c4c837a966caa7e9b","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05H/points/phi060_psi-060/input.json","e886a5486f9b1433149538f9b264cacec4d71a45a0f7c43395f3e3745bf1cc38","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"2a75cfc51d0fe155ccfddbeb43c19c26c237ce819f1dc23c4c837a966caa7e9b","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05H/points/phi060_psi-060/input.json","e886a5486f9b1433149538f9b264cacec4d71a45a0f7c43395f3e3745bf1cc38","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"2b4c2048bf31f4d06149b54320aeca1695bcd68b67ac48ef6cd5c4b04fb28a2a","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"3615ca89fa5725d115df9caa2b26b59ac90c4a33f7fbc17a2acfe80c86428348","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"371dc78d7b0112c9a7b807eba4e61b72058c987cf47352feb9b3b73847e3321a","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-10/10_MIN01_O2_ACCEPTOR_1.7/dimer.log","865d3ebabf83e6d593ef8c33f87fc031041eb091e0da8d4b27442d32dd46bc66","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"371dc78d7b0112c9a7b807eba4e61b72058c987cf47352feb9b3b73847e3321a","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-10/10_MIN01_O2_ACCEPTOR_1.7/dimer.log","865d3ebabf83e6d593ef8c33f87fc031041eb091e0da8d4b27442d32dd46bc66","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"37c198a850a0f2555771a4ef5600b78ed523d48452c624f291406cc9109b8cb0","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"3afbafeb9c0a7a9fcf42a6e63dac9645561d7b9cd764c2392d1e8ff3f29a62f6","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi060_psi060_B_p10/input.json","2c332355a44e5c0734b50922adbc17fe22d4aba9339c26cb95396dab30ba12ae","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"3afbafeb9c0a7a9fcf42a6e63dac9645561d7b9cd764c2392d1e8ff3f29a62f6","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi060_psi060_B_p10/input.json","2c332355a44e5c0734b50922adbc17fe22d4aba9339c26cb95396dab30ba12ae","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"3b5e8858b3d0ff399ea80197010d69c897b42e5680a185b313edf083048d7e68","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_1.7A/dimer.log","eaf0e87723ca92452f0255fb127c91953cbcd907a9637b2e103ca7593bee7d87","line 99","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"3b5e8858b3d0ff399ea80197010d69c897b42e5680a185b313edf083048d7e68","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/replacement-sh-donor-qm-local/MIN02_SH_DONOR_1.7A/dimer.log","eaf0e87723ca92452f0255fb127c91953cbcd907a9637b2e103ca7593bee7d87","line 99","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"3c61ce3603e56d4e107f0cac0285ec64e0c75594a2f2c66c826204df370ba045","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"3dd9ebb65f743bfb32f32e9c56d402d587d94764f6a5554eb69dbaa1dbfb3d5b","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"3eaf235e8b1912090382b130abfd4c20674c55a24c8d84e3d9228a7c28c5d455","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05H/points/phi060_psi+060/input.json","3bfcab7cedf3d77cdb49465ec70bddc9ec37a7c97e643be8bc167fe8d714bad1","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"3eaf235e8b1912090382b130abfd4c20674c55a24c8d84e3d9228a7c28c5d455","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05H/points/phi060_psi+060/input.json","3bfcab7cedf3d77cdb49465ec70bddc9ec37a7c97e643be8bc167fe8d714bad1","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"43ab87866d15b0d2adeaef86241785e31c34050350b9d0a8a7bfd380145fe524","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-9/09_MIN01_O1_ACCEPTOR_2.8/dimer.log","6a8ed311f142881f6589395b85044aa9d54e0eec5ea07144fb928f697148a0de","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"43ab87866d15b0d2adeaef86241785e31c34050350b9d0a8a7bfd380145fe524","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-9/09_MIN01_O1_ACCEPTOR_2.8/dimer.log","6a8ed311f142881f6589395b85044aa9d54e0eec5ea07144fb928f697148a0de","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4420ddb8ba0dc5a575702498b888736f89a5ec83ecf2c4b476527987db36fdea","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi300_psi060_B_p10/input.json","977fbca1c2783671e7336974f4bb7609a68e899fbce7d5afd64070c25c5eb315","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"4420ddb8ba0dc5a575702498b888736f89a5ec83ecf2c4b476527987db36fdea","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05L/points/phi300_psi060_B_p10/input.json","977fbca1c2783671e7336974f4bb7609a68e899fbce7d5afd64070c25c5eb315","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"4602c4f8500d24d587aadb189233de720bd0eddae0f8b8efac049fe38ccef04a","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-5/05_MIN01_SH_DONOR_2.1/dimer.log","d1695f3f1570bfff3529ed57ce06462cdcfbe6da62d268bee7d6c5de1e055d35","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4602c4f8500d24d587aadb189233de720bd0eddae0f8b8efac049fe38ccef04a","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-5/05_MIN01_SH_DONOR_2.1/dimer.log","d1695f3f1570bfff3529ed57ce06462cdcfbe6da62d268bee7d6c5de1e055d35","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"47b3bd31e207aa37c67490dc58f98c441b134edd7f9a9482936a78fa32235733","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-18/18_MIN04_S_ACCEPTOR_2.8/dimer.log","98448c4473cd89a613b6fc13c9aa71c6bb7ad4cd8284a49787ced5f52cfdfc55","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"47b3bd31e207aa37c67490dc58f98c441b134edd7f9a9482936a78fa32235733","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-18/18_MIN04_S_ACCEPTOR_2.8/dimer.log","98448c4473cd89a613b6fc13c9aa71c6bb7ad4cd8284a49787ced5f52cfdfc55","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4b1552ec12e207e596175b1a804087cc554b21c4dfcc77f2e7115505a207f748","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-6/06_MIN01_SH_DONOR_2.8/dimer.log","67ec8d169035a49ad5729cc6a92767ca6170b12c7871b40a403e8b4734b87b98","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4b1552ec12e207e596175b1a804087cc554b21c4dfcc77f2e7115505a207f748","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-6/06_MIN01_SH_DONOR_2.8/dimer.log","67ec8d169035a49ad5729cc6a92767ca6170b12c7871b40a403e8b4734b87b98","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4b9fc80d43465b468fa057a84b9197300b3b020f0e3262e92ab141784040153b","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05M/points/M-D02/input.json","cb8c4e55bdfc81634b395a2bb5a06341d335e3dc7fe4e99fd1acd4c04368402d","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"4b9fc80d43465b468fa057a84b9197300b3b020f0e3262e92ab141784040153b","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_SOFTWARE_ENVIRONMENT_ARTIFACT","analysis/mettl7-phase2/execution-unit-05M/points/M-D02/input.json","cb8c4e55bdfc81634b395a2bb5a06341d335e3dc7fe4e99fd1acd4c04368402d","/software/pyscf","structured calculation environment metadata","Recovered from an artifact directly linked to the canonical calculation record",""
"4e24875bfce6309754d14ea57ab1ff1513cde180c093a71f16db8e7ae8f0c2dd","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-15/15_MIN01_O3_ACCEPTOR_2.8/dimer.log","3dd77cf643cb6d94f8eb8b0ec32af4ade6be23c8000ee61d6824c4e018ab6cae","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4e24875bfce6309754d14ea57ab1ff1513cde180c093a71f16db8e7ae8f0c2dd","SOFTWARE_VERSION_MISSING","unknown","2.14.0","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-15/15_MIN01_O3_ACCEPTOR_2.8/dimer.log","3dd77cf643cb6d94f8eb8b0ec32af4ade6be23c8000ee61d6824c4e018ab6cae","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
"4e53de2e039541e075443c8f6b02d1ed386972a2f8fa3d7525e1cfae7ebf4ed7","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"4e53de2e039541e075443c8f6b02d1ed386972a2f8fa3d7525e1cfae7ebf4ed7","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"5092fce6b796d8c2f9f88ac4acf4e9ddde076da5179e1a59cfd534e614270038","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"5092fce6b796d8c2f9f88ac4acf4e9ddde076da5179e1a59cfd534e614270038","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"57fc0a5e891eb1a4e4c257ddc614fbfb8869ec2cd7a1e2797c80cfba23d85849","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"59c4ab5b3fec1ff62f9dcec0518293a5e587882469425e9af680ddbb1975e7be","PROTOCOL_METHOD_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No method field exists in an artifact linked to this calculation",""
"59c4ab5b3fec1ff62f9dcec0518293a5e587882469425e9af680ddbb1975e7be","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"59c4ab5b3fec1ff62f9dcec0518293a5e587882469425e9af680ddbb1975e7be","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"59dd4710ce8575c580910032be643acc6e548c7d35c3a645784e26d5c9af14e5","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"5e3cf244ecc6fd1a111586bccbb089e4a468e92a68742e8fd39eaf2bd900c03b","PROTOCOL_SOFTWARE_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No software identity exists in a calculation-linked input, environment file, or raw output",""
"5e3cf244ecc6fd1a111586bccbb089e4a468e92a68742e8fd39eaf2bd900c03b","SOFTWARE_VERSION_MISSING","unknown","","GENUINELY_UNRECOVERABLE","","","","","No exact version exists in a calculation-linked environment artifact or raw output",""
"5ed6dc47002df60a8fa9c3e98e419006ef67ddfca0bcf46151114673372ce202","PROTOCOL_SOFTWARE_MISSING","unknown","PySCF","RECOVERABLE_FROM_RAW_ARTIFACT","analysis/mettl7-phase2/execution-unit-05O/vdw-probe-validation-aws/point-5/05_MIN01_SH_DONOR_2.1/dimer.log","d1695f3f1570bfff3529ed57ce06462cdcfbe6da62d268bee7d6c5de1e055d35","line 82","PySCF version banner parser","Recovered from an artifact directly linked to the canonical calculation record",""
